rune,head,Serial,familiar,body,background,prop,token_id,numTraits,image,name
Rune of Earth,Kempo,1546,Psychic Rabbit,Grey Tunic,Green,Isaac's Apple,1546,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1546.png,Conjurer Mei of the Psychic Leap
Rune of Fire,WereBeast,1547,Giant Ladybug,Orange Caped Traveller,Red,Courage Staff,1547,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1547.png,Runecaster Hansel of the Grotto
Rune of Steel,Anuran,1548,Ember Frog,Orange Caped Traveller,Red,Nightshade Potion,1548,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1548.png,Alchemist Gully of the Wold
Rune of Uranus,Wooden Boy,1549,Dirt Rabbit,Swashbuckling Gear,Green,Dryad's Ear: the Plant Spell,1549,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1549.png,Artificer Kingsley of the Surf
Rune of Air,Enchantress,1550,Great Owl,Blue Big Buckle,Green,Nightshade Potion,1550,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1550.png,Enchanter Carly of the Marsh
Rune of Mercury,Red Priestess,1551,Fox Trickster,Rose Yoga,Red,Red Mushroom,1551,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1551.png, Atlanta of the Field
,Arcadian Master,1552,Sapphire Slime,Brown Tunic,Blue,Passion Potion,1552,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1552.png,Sorcerer Alatar 
Rune of Earth,Trickster,1553,Swamp Bullfrog,Robe of Shadow,Green,Green Mushroom,1553,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1553.png,Magus Jameel of the Pit
,Dream Master,1554,,Aristocrat Blue,Black,Joy Staff,1554,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1554.png,Arch-Magician Rafiq of the Court
Rune of Neptune,Cloud Prophet,1555,Great Owl,Banded Overall,Green,Book of Magic,1555,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1555.png,Mystic Azahl of the Cosmos
Rune of Fire,Coven Sister,1556,Green Asp,Spandex  Green,Green,Staff,1556,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1556.png,Adept Iris of the Forest
,Astral Arcanist,1557,Plague Rat,Desert Wear,Blue,The Orb Staff,1557,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1557.png,Sage Soran of the Rock
,Animist,1558,Sapphire Slime,Blue Lined Coveralls ,Blue,The Orb Staff,1558,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1558.png,Adept Bayard of the River
Rune of Neptune,Woodland Shapeshifter,1559,Dirt Rabbit,Orange Hip Scarf ,Green,Jinx Staff,1559,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1559.png,Mystic Otto of the Belfry
Rune of Pluto,Stranger,1560,Onyx Wolf,Cosmic Cardigan,Blue,Lunar Staff,1560,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1560.png,Ghost Eater Ali of the Astral Plane
Rune of Uranus,Polar Shapeshifter,1561,Great Owl,Overcoat,Black,Mug of Ale,1561,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1561.png,Scryer Talbot of the Reach
Rune of Jupiter,Flaming Skull,1562,Fox Trickster,White Tunic,Green,Mystic Ice Cream,1562,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1562.png,Null Mage Charlord of the Light
Rune of Neptune,Anuran,1563,Ember Frog,Blue Coveralls,Black,Golden Bull Staff,1563,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1563.png,Chaos Mage Kobold of the Hollow
Rune of Earth,Gruffling,1564,Topaz Slime,Green Mantle Robe,Green,Phoenix Feather,1564,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1564.png,Druid Danny of the Astral Plane
,Strongman,1565,Swamp Bullfrog,Purple Harem Pants,Black,Grim Reaper's Breath: the Death Spell,1565,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1565.png,Ghost Eater Ethan of the Sun
Rune of Uranus,Man Behind the Curtain,1566,Emerald Slime,Jester Diamonds,Black,The Mamba Stick,1566,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1566.png,Null Mage Milton of the Villa
Rune of Brimstone,Gruffling,1567,Giant Ladybug,Green Mantle Robe,Black,Shaman's Peyote,1567,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1567.png,Shaman Sturgis of the Platonic Shadow
,Professor,1568,,Yellow Cleric,Black,,1568,4,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1568.png,Sorcerer Eizo of the Havens
,Eastern Arcanist,1569,Topaz Slime,Purple Harem Pants,Black,Jinx Staff,1569,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1569.png,Shaman Cairon of the Palms
Rune of Cinnabar,Punjabi,1570,Great Owl,SupaFly,Black,Goblet of Immortality,1570,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1570.png,Artificer Reza of the Keep
Rune of Earth,Death Eater,1571,Mesozoic Cockatrice,Orange Caped Traveller,Red,Book of Magic,1571,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1571.png,Sorcerer Azazel of the Lake
Rune of Venus,Kabuki ,1572,Merlin's Monkey,Two Tone Fringe,Black,Isaac's Apple,1572,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1572.png,Illusionist Aiko of the Reach
Rune of Air,Swashbuckler,1573,Field Dog,Red Cleric,Red,Ruby Staff,1573,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1573.png,Shaman Talbot of the Mist
Rune of Earth,"Master of Wood, Water, and Hill",1574,Emerald Slime,Green Scholar,Green,Green Mushroom,1574,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1574.png,Magus Wolfram of the Atheneum
Rune of Sigma,Red Priestess,1575,Bliss Cat,Spandex  Dark,Red,Aphrodite's Heart: the Love Spell,1575,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1575.png, Calliope of the Canyon
Rune of Mercury,Kabuki ,1576,Bliss Cat,Brown Harem Pants,Blue,The Orb Staff,1576,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1576.png,Sage Misumi of the Oasis
Rune of Saturn,Animist,1577,Golden Toad,Tech Coat,Blue,Joy Staff,1577,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1577.png,Adept Danny of the Ether
Rune of Mercury,Polar Shapeshifter,1578,Sapphire Slime,Green Hip Scarf,Blue,Guillaume's Broom,1578,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1578.png,Battle Mage Sturgis of the Havens
Rune of Fire,Wicked Wizard,1579,Lucky Black Cat,Aristocrat Green,Blue,Nightshade Potion,1579,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1579.png,Alchemist Solomon of the Citadel
Rune of Air,Death Eater,1580,Forever Bat,Green Mantle Robe,Blue,Caduceus,1580,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1580.png,Necromancer Judas of the Cosmos
Rune of Air,Floral Master,1581,Dirt Rabbit,Spandex  Dark,Green,Zephyr's Laugh: the Wind Spell,1581,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1581.png,Aeromancer Daria of the Mountain
Rune of Omega,Djinn,1582,Fox Trickster,Double Sash,Blue,Courage Staff,1582,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1582.png,Sorcerer Kazem of the Palms
Rune of Uranus,Huntress,1583,Golden Toad,Wicker Wear,Black,Joy Staff,1583,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1583.png,Druid Circe of the Forest
,Astral Arcanist,1584,Red Mamba,Dapper Formal,Blue,Siren's Bell,1584,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1584.png,Bard Lux of the Hall
Rune of Infinity,Kabuki ,1585,Pink Butterfly,Blue Coveralls,Blue,Courage Staff,1585,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1585.png,Arch-Magician Miyo of the Steppe
Rune of Brimstone,Diviner,1586,Dirt Rabbit,White Coveralls,Black,Ether Staff,1586,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1586.png,Fortune Teller Ixar of the Brambles
,Faustian,1587,Red Mamba,Orange Caped Traveller,Red,Grim Reaper's Breath: the Death Spell,1587,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1587.png,Mephistopheles
Rune of Pluto,Houngan,1588,Forever Bat,Tundra Wear,Green,A dumb stick...,1588,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1588.png,Ice Mage Baptiste of the Cold
Rune of Down,Canaanite,1589,Mesozoic Cockatrice,Robe of Shadow,Black,Soul Harvester,1589,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1589.png,Hex Mage Asmodeus from the Abyss
Rune of Brass,Ascetic,1590,Great Owl,Wicker Wear,Black,Harmony Staff,1590,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1590.png,Archmagus Aden of the Wood
Rune of Lime,BrainDrain,1591,Field Dog,Swashbuckling Gear,Blue,Kelpie's Fury: the Water Spell,1591,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1591.png,Archmagus Argus of Atlantis
Rune of Sun,Dark Sister,1592,Red Mamba,Desert Wear,Blue,Dragon Fireworks,1592,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1592.png, Katherine of the Oasis
Rune of Down,Polar Shapeshifter,1593,Psychic Rabbit,White Wraith,Red,Soul Harvester,1593,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1593.png,Archmagus Ratko of the Morning Star
,White Wizard,1594,Albino Rat,Blue Big Buckle,Black,Kelpie's Fury: the Water Spell,1594,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1594.png,Archmagus Hadrien of the Heath
Rune of Uranus,Astrologer,1595,Crackerjack Crow,Ice Robe,Green,Caduceus,1595,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1595.png,Sorcerer Aldus of the Astral Plane
Rune of Steel,Great Old One,1596,Ember Frog,Orange Hip Scarf ,Green,Gorgon's Eye,1596,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1596.png,Ghost Eater Hypnos of the Valley
Rune of Water,White Wizard,1597,Bliss Cat,Desert Wear,Green,Stellar Staff,1597,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1597.png, Uvlius of the Rock
,Swamp Witch,1598,Green Asp,Green Hip Pouch,Black,Nightshade Potion,1598,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1598.png,Witch Rita of Arcadia
Rune of Neptune,Vegetable,1599,Green Asp,Purple Harem Pants,Red,Jinx Staff,1599,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1599.png,Alchemist Purple Boy of the Rock
Rune of Jupiter,Faustian,1600,Green Asp,White Tunic,Blue,Fairy Glamour: the Dazzle Spell,1600,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1600.png,Evoker Soya of the Cosmos
Rune of Brimstone,White Wizard,1601,Psychic Rabbit,White Coveralls,Green,Mandrake Potion,1601,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1601.png,Alchemist Oberon of the Wood
Rune of Water,Blue Wizard,1602,Emerald Slime,Red Cleric,Black,Harmony Staff,1602,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1602.png,Arcanist Udor of Avalon
Rune of Earth,Canaanite,1603,Aura Wolf,Overcoat,Black,Green Mushroom,1603,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1603.png,Magus Asmodeus of the Moors
,Fungus,1604,Sun Cat,Gold Chain,Black,The Midas Rod,1604,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1604.png,Arch-Magician Amanita of the Hall
Rune of Brimstone,White Wizard,1605,Bliss Cat,Tundra Wear,Blue,Dryad's Ear: the Plant Spell,1605,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1605.png,Ice Mage Jerret of the Ice
Rune of Brass,Woodland Shapeshifter,1606,Crackerjack Crow,Green Caped Traveller,Blue,Ether Staff,1606,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1606.png,Augurer Blaise of the Mountain
,Man Behind the Curtain,1607,,Brown Coveralls,Black,Mandrake Potion,1607,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1607.png,Alchemist Remus of the Wild
,Kempo,1608,Albino Rat,Shoulder Cape Red,Blue,Grim Reaper's Breath: the Death Spell,1608,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1608.png,Necromancer Lei of the Mount
Rune of Brimstone,Mambo,1609,Forever Bat,Poncho,Black,Crystal Ball,1609,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1609.png,Clairvoyant Celeste of the Rock
Rune of Brass,Bard,1610,Sapphire Slime,Shoulder Cape Green,Green,The Orb Staff,1610,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1610.png,Sage Crobas of Avalon
,Djinn,1611,,Ice Robe,Blue,Shaman's Peyote,1611,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1611.png,Sorcerer Qaid of the Astral Plane
Rune of Cinnabar,Floral Master,1612,Lucky Black Cat,Purple Yoga,Black,Ace in the Hole,1612,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1612.png,Clairvoyant Mina of the Grotto
,Shaolin,1613,,Banded Overall,Green,Crystal Ball,1613,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1613.png,Fortune Teller Jiang of the Astral Plane
,Mandinka,1614,,Vest Green,Black,The Gnome's Tooth: the Earth Spell,1614,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1614.png,Battle Mage Ulysse of the Marsh
,Wicked Wizard,1615,Albino Rat,Blue Big Buckle,Green,Kelpie's Fury: the Water Spell,1615,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1615.png,Archmagus George of Arcadia
,Djinn,1616,,Green Elven Cloak,Black,Candle of Intuition,1616,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1616.png,Magus Jabir of the Toadstools
,Scholar,1617,,Blue Big Buckle,Blue,,1617,4,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1617.png,Sorcerer Cairon of the Lake
Rune of Mars,Death Eater,1618,Crackerjack Crow,Robe of Shadow,Red,Gorgon's Eye,1618,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1618.png,Void Disciple Seth of the Quantum Shadow
Rune of Venus,Empress,1619,Red Mamba,Green Cloak,Red,Solar Staff,1619,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1619.png,Conjurer Artis of the Brambles
Rune of Jupiter,Red Wizard,1620,Fox Trickster,Robe of Shadow,Blue,Eternal Rose,1620,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1620.png,Archmagus Hadrien of the Pit
Rune of Mercury,Yellow Wizard,1621,Red Mamba,Shoulder Cape Red,Black,Candle of Intuition,1621,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1621.png,Archmagus Milton of Elysium
Rune of Cinnabar,Pumpkin Head,1622,Crackerjack Crow,Brown Tunic,Red,Kelpie's Fury: the Water Spell,1622,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1622.png,Hydromancer Gourdon of the Ether
Rune of Water,Seer,1623,,Black Wraith,Green,Lucky Horseshoe,1623,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1623.png,Magus David from the Abyss
,Blue Wizard,1624,,Blue Lined Coveralls ,Black,The Orb Staff,1624,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1624.png,Archmagus Crowley of the Canyon
Rune of Pluto,Flaming Skull,1625,Jewled Hummingbird,Green Mantle Robe,Red,Caduceus,1625,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1625.png,Mystic Scorch of the Ether
Rune of Pluto,Wooden Boy,1626,Green Asp,Banded Overall,Black,Dryad's Ear: the Plant Spell,1626,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1626.png,Hedge Wizard Jiggs of Mu
,Enchantress,1627,Psychic Rabbit,Green Coveralls,Green,Peace Staff,1627,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1627.png,Arcanist Daria of the Valley
,Swashbuckler,1628,Plague Rat,Swashbuckling Gear,Black,Mandrake Potion,1628,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1628.png,Battle Mage Blaise of the Loch
Rune of Air,Crone,1629,Mesozoic Cockatrice,Tech Coat,Blue,Caduceus,1629,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1629.png,Witch Keziah of the Light
Rune of Uranus,Dark Arcanist,1630,Lucky Black Cat,Swashbuckling Gear,Green,Kelpie's Fury: the Water Spell,1630,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1630.png,Hydromancer Qasim of the Surf
,Witch,1631,Green Asp,Red Hip Pouch,Blue,Passion Potion,1631,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1631.png,Witch Calypso of the Plains
Rune of Venus,Prophet,1632,Fox Trickster,Blue Lined Coveralls ,Green,Dragon Fireworks,1632,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1632.png,Archmagus Apollo of the Wood
Rune of Uranus,Floral Master,1633,Dirt Rabbit,Purple Cloak,Black,Egg of Unknown Beast,1633,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1633.png,Magus Cybele of the River
Rune of Mars,Pumpkin Head,1634,Lucky Black Cat,Green Caped Traveller,Blue,A dumb stick...,1634,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1634.png,Druid Pepo of the Steppe
Rune of Air,Olympian,1635,Plague Rat,Brown Coveralls,Red,Lucky Horseshoe,1635,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1635.png,Artificer Aslan of the Wold
,Swashbuckler,1636,,Red Cleric,Black,Peace Staff,1636,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1636.png,Hedge Wizard Baird of the Mount
Rune of Fire,Polar Shapeshifter,1637,Fox Trickster,Double Sash,Red,Mystic Ice Cream,1637,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1637.png,Cleric Caligula of the Sun
Rune of Brimstone,Botanic Master,1638,Giant Ladybug,Red Hip Pouch,Black,Bag of Tricks,1638,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1638.png,Charmer Bathsheba of the Grotto
,Lycanthrope,1639,Sapphire Slime,Two Tone Fringe,Blue,Dragon Fireworks,1639,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1639.png,Battle Mage Rodolfo of the Brambles
,Hag,1640,Onyx Wolf,Purple Cloak,Green,Lunar Staff,1640,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1640.png,Thaumaturge Enigma of the Forest
Rune of Steel,Cloud Prophet,1641,Bliss Cat,Banded Overall,Black,Eternal Rose,1641,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1641.png,Hedge Wizard Eizo of the Astral Plane
Rune of Venus,Anuran,1642,Astral Snail,Desert Wear,Blue,Crystal Skull,1642,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1642.png,Necromancer  of the Desert
Rune of Air,Tengu Preist,1643,Great Owl,Blue Coveralls,Red,Passion Potion,1643,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1643.png,Alchemist Shigenjo of the Hills
Rune of Venus,Red Priestess,1644,Great Owl,Spandex  Dark,Red,Bag of Tricks,1644,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1644.png,Enchanter Sarah of the Brambles
,Professor,1645,,Orange Hip Scarf ,Black,Lucky Horseshoe,1645,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1645.png,Archmagus  of Elysium
Rune of Fire,Coven Sister,1646,Blue Rat,Blue Hip Pouch,Green,Caduceus,1646,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1646.png,Enchanter Arabella of the Mountain
Rune of Mars,Wild Woman,1647,Blue Rat,Cosmic Cardigan,Black,Caduceus,1647,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1647.png,Shaman Liliana of the Cosmos
,Lycanthrope,1648,,Shoulder Cape Green,Black,Astral Potion,1648,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1648.png,Battle Mage Magnus of the Bibliotheca
Rune of Steel,Gruffling,1649,Fox Trickster,Desert Wear,Red,Garnet Staff,1649,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1649.png,Wild Mage Borak of the Desert
Rune of Saturn,Kelt,1650,Fox Trickster,Formal Suit,Black,Candle of Intuition,1650,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1650.png,Battle Mage Angus of the Keep
,Warlock,1651,,Red Coveralls,Blue,Emerald Staff,1651,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1651.png,Archmagus Ozohr of the Wood
Rune of Omega,Anuran,1652,Emerald Slime,Yellow Cleric,Blue,Joy Staff,1652,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1652.png,Magus Duzzle of the Mist
